dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC020/ses-01/anat/sub-HC020_ses-01_run-2_T1w.nii.gz,,sub-HC020,ses-01,224,320,320,0.8,0.8,0.8,21.267823219299316,,,,22937600,18704251,0.8154406302315849,0.0,1516.0,174.53787168489131,43.0,197.7831806182001,24.0,1.037895130877092,1.2281654323521294,14.0,18.0,538.0,768.0,1.354120979627908,0.5779
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC021/ses-01/anat/sub-HC021_ses-01_run-1_T1w.nii.gz,,sub-HC021,ses-01,224,320,320,0.8,0.8,0.8,19.67776870727539,,,,22937600,18648965,0.8130303519112724,0.0,1485.0,136.86107851025514,36.0,156.9212696022125,17.0,1.124479261875396,1.2933767354958337,14.0,17.0,435.0,602.0,1.3216999996569938,0.574
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC022/ses-01/anat/sub-HC022_ses-01_run-1_T1w.nii.gz,,sub-HC022,ses-01,224,320,320,0.8,0.8,0.8,20.707756996154785,,,,22937600,18604746,0.8111025565011161,0.0,1523.0,157.813042865514,46.0,178.5134873287157,24.0,1.7723651060342505,1.4153344850550713,16.0,20.0,485.0,748.0,1.3432971348814569,0.5788
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC023/ses-01/anat/sub-HC023_ses-01_run-1_T1w.nii.gz,,sub-HC023,ses-01,224,320,320,0.8,0.8,0.8,19.5848331451416,,,,22937600,19353247,0.8437346104213169,0.0,1323.0,119.66983705628311,37.0,155.7167060657029,16.0,2.7061439696951224,1.7762341525925103,15.0,18.0,455.0,632.0,1.4534627994507148,0.5438
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC022/ses-01/anat/sub-HC022_ses-01_run-2_T1w.nii.gz,,sub-HC022,ses-01,224,320,320,0.8,0.8,0.8,20.60049533843994,,,,22937600,18663600,0.8136683872767857,0.0,1683.0,158.26513577230546,44.0,184.37108757093247,22.0,1.9841042905774842,1.4768321373129374,16.0,20.0,499.0,776.0,1.2109920554871951,0.5697
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC021/ses-01/anat/sub-HC021_ses-01_run-2_T1w.nii.gz,,sub-HC021,ses-01,224,320,320,0.8,0.8,0.8,19.650924682617188,,,,22937600,18631388,0.8122640555245536,0.0,1508.0,137.62926326261896,35.0,158.83754995991694,16.0,1.1233848346523336,1.292514654441339,14.0,17.0,436.0,618.0,1.292947232737382,0.5712
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC023/ses-01/anat/sub-HC023_ses-01_run-2_T1w.nii.gz,,sub-HC023,ses-01,224,320,320,0.8,0.8,0.8,19.48738956451416,,,,22937600,19375788,0.8447173200334821,0.0,1376.0,119.4594284887923,37.0,158.44318336265928,15.0,2.793866743494693,1.8064701428557013,15.0,18.0,462.0,648.0,1.3912723043028736,0.5373
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC024/ses-01/anat/sub-HC024_ses-01_run-1_T1w.nii.gz,,sub-HC024,ses-01,224,320,320,0.8,0.8,0.8,21.109399795532227,,,,22937600,18683473,0.8145347813197544,0.0,1815.0,166.4674554350789,43.0,193.36097383684844,23.0,1.962674669696578,1.4559474090351001,16.0,19.0,528.0,812.0,1.1343235475835098,0.5704
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC025/ses-01/anat/sub-HC025_ses-01_run-1_T1w.nii.gz,,sub-HC025,ses-01,224,320,320,0.8,0.8,0.8,20.06990337371826,,,,22937600,18515705,0.8072206769670759,0.0,1251.0,149.4402996807305,36.0,178.04035194476876,18.0,0.9869856656359799,1.3037999070605315,13.0,16.0,487.0,701.0,1.5810487779656324,0.5577
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC024/ses-01/anat/sub-HC024_ses-01_run-2_T1w.nii.gz,,sub-HC024,ses-01,224,320,320,0.8,0.8,0.8,21.231061935424805,,,,22937600,18791822,0.8192584228515625,0.0,1667.0,168.61118432262714,43.0,195.84623937626264,23.0,1.7793119326655482,1.4244927508335623,16.0,19.0,533.0,816.0,1.2341740334677214,0.5721
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC025/ses-01/anat/sub-HC025_ses-01_run-2_T1w.nii.gz,,sub-HC025,ses-01,224,320,320,0.8,0.8,0.8,20.011643409729004,,,,22937600,18546405,0.808559090750558,0.0,1247.0,151.56746469194434,35.0,183.06113640608936,17.0,1.0611222658929975,1.3244788227967037,13.0,16.0,498.0,726.0,1.5831569614238916,0.5532
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC026/ses-01/anat/sub-HC026_ses-01_run-1_T1w.nii.gz,,sub-HC026,ses-01,224,320,320,0.8,0.8,0.8,19.58328342437744,,,,22937600,19142141,0.8345311192103795,0.0,1318.0,121.513113501776,39.0,148.38655097605738,15.0,1.4367789230135175,1.5285498043550072,18.0,20.0,441.0,551.0,1.4436286171788764,0.5627
